farm_id,date,season,max_temp,daily_gdd,ndvi_mean,ndmi_mean,stress_pct,total_ha,accumulated_gdd,ndvi_change,ndvi_momentum,active_ha,temp_stress_ha,water_stress_ha,risk_high_ha
Jose_Farm,2025-12-19,Winter,9.8,5.050000000000001,0.07145729660987854,0.18043504655361176,1.0,500,5.050000000000001,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2025-12-19,Winter,9.8,5.050000000000001,0.07145729660987854,0.18043504655361176,1.0,500,10.100000000000001,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2025-12-19,Winter,9.8,5.050000000000001,0.07145729660987854,0.18043504655361176,1.0,500,15.150000000000002,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2025-12-24,Winter,2.3,1.25,0.020594026893377304,0.17557837069034576,1.0,500,16.400000000000002,-0.050863269716501236,Declining,500,0.0,500.0,500.0
Jose_Farm,2025-12-24,Winter,2.3,1.25,0.020594026893377304,0.17557837069034576,1.0,500,17.650000000000002,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2025-12-24,Winter,2.3,1.25,0.020594026893377304,0.17557837069034576,1.0,500,18.900000000000002,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2025-12-26,Winter,1.2,0.0,0.008810323663055897,0.04427975043654442,1.0,500,18.900000000000002,-0.011783703230321407,Declining,500,0.0,500.0,500.0
Jose_Farm,2025-12-26,Winter,1.2,0.0,0.008810323663055897,0.04427975043654442,1.0,500,18.900000000000002,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2025-12-26,Winter,1.2,0.0,0.008810323663055897,0.04427975043654442,1.0,500,18.900000000000002,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2025-12-29,Winter,1.4,0.0,0.12806229293346405,0.08263015002012253,0.962034472416774,500,18.900000000000002,0.11925196927040815,Increasing,500,0.0,481.017236208387,481.017236208387
Jose_Farm,2025-12-29,Winter,1.4,0.0,0.12806229293346405,0.08263015002012253,0.962034472416774,500,18.900000000000002,0.0,Stable,500,0.0,481.017236208387,481.017236208387
Jose_Farm,2025-12-29,Winter,1.4,0.0,0.12806229293346405,0.08263015002012253,0.962034472416774,500,18.900000000000002,0.0,Stable,500,0.0,481.017236208387,481.017236208387
Jose_Farm,2026-01-03,Winter,-0.3,0.0,0.05176522582769394,0.5392611622810364,0.9968597286664432,500,18.900000000000002,-0.07629706710577011,Declining,500,0.0,498.42986433322164,498.42986433322164
Jose_Farm,2026-01-03,Winter,-0.3,0.0,0.05176522582769394,0.5392611622810364,0.9968597286664432,500,18.900000000000002,0.0,Stable,500,0.0,498.42986433322164,498.42986433322164
Jose_Farm,2026-01-03,Winter,-0.3,0.0,0.05176522582769394,0.5392611622810364,0.9968597286664432,500,18.900000000000002,0.0,Stable,500,0.0,498.42986433322164,498.42986433322164
Jose_Farm,2026-01-05,Winter,-1.5,0.0,0.06388598680496216,0.41012489795684814,0.9686678545595682,500,18.900000000000002,0.012120760977268219,Increasing,500,0.0,484.33392727978406,484.33392727978406
Jose_Farm,2026-01-05,Winter,-1.5,0.0,0.06388598680496216,0.41012489795684814,0.9686678545595682,500,18.900000000000002,0.0,Stable,500,0.0,484.33392727978406,484.33392727978406
Jose_Farm,2026-01-05,Winter,-1.5,0.0,0.06388598680496216,0.41012489795684814,0.9686678545595682,500,18.900000000000002,0.0,Stable,500,0.0,484.33392727978406,484.33392727978406
Jose_Farm,2026-01-08,Winter,5.8,2.15,0.011829984374344349,0.3943701982498169,1.0,500,21.05,-0.05205600243061781,Declining,500,0.0,500.0,500.0
Jose_Farm,2026-01-08,Winter,5.8,2.15,0.011829984374344349,0.3943701982498169,1.0,500,23.2,0.0,Stable,500,0.0,500.0,500.0
